MunicipioId;CondicionId;Mes;Codigo;Descripcion
56;0;6;DL;Suelos aptos, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;DN;Suelos aptos, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;DM;Suelos condicionados a manejo por profundidad efectiva, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;DO;Suelos condicionados a manejo por textura, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;DP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;DY;No apto (cuerpos y corrientes de agua)
56;0;6;DQ; Suelos no aptos por profundidad efectiva, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;CN;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;CM;Suelos condicionados a manejo por profundidad efectiva, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;CO;Suelos condicionados a manejo por textura, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;CP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;CY;No apto (cuerpos y corrientes de agua)
56;0;6;CQ; Suelos no aptos por profundidad efectiva, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;6;CZ;No apto  (zona urbana)
56;0;11;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;CN;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;CO;Suelos condicionados a manejo por textura, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;CP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;CY;No apto (cuerpos y corrientes de agua)
56;0;11;CQ; Suelos no aptos por profundidad efectiva, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;BL;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;BN;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;BM;Suelos condicionados a manejo por profundidad efectiva, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;BO;Suelos condicionados a manejo por textura, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;BP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;BY;No apto (cuerpos y corrientes de agua)
56;0;11;BQ; Suelos no aptos por profundidad efectiva, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;11;BZ;No apto  (zona urbana)
56;0;10;BL;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;10;BN;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;10;BM;Suelos condicionados a manejo por profundidad efectiva, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;10;BO;Suelos condicionados a manejo por textura, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;10;BP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;10;BY;No apto (cuerpos y corrientes de agua)
56;0;10;BQ; Suelos no aptos por profundidad efectiva, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;10;BZ;No apto  (zona urbana)
56;0;10;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;10;CN;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;10;CM;Suelos condicionados a manejo por profundidad efectiva, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
