MunicipioId;CondicionId;Mes;Codigo;Descripcion
49;2;5;BR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;BY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CN;Suelos condicionados a manejo por acidez, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CO;Suelos condicionados a manejo por la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CP;Suelos condicionados por pendiente, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CQ;Suelos no aptos por condiciones del suelo, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CZ;Suelos No Aptos (Zona Urbana)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;DN;Suelos condicionados a manejo por acidez, y con probabilidad alta (60 - 80 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;DP;Suelos condicionados por pendiente, y con probabilidad alta (60 - 80 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;DQ;Suelos no aptos por condiciones del suelo, y con probabilidad alta (60 - 80 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;DR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad alta (60 - 80 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CN;Suelos condicionados a manejo por acidez, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CO;Suelos condicionados a manejo por la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CP;Suelos condicionados por pendiente, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CQ;Suelos no aptos por condiciones del suelo, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;CZ;Suelos No Aptos (Zona Urbana)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;6;DR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad alta (60 - 80 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;BM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;BN;Suelos condicionados a manejo por acidez, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;BO;Suelos condicionados a manejo por la textura, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;BP;Suelos condicionados por pendiente, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;BQ;Suelos no aptos por condiciones del suelo, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;BR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;BY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CN;Suelos condicionados a manejo por acidez, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CO;Suelos condicionados a manejo por la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CP;Suelos condicionados por pendiente, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CQ;Suelos no aptos por condiciones del suelo, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;7;CZ;Suelos No Aptos (Zona Urbana)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;1;2;BL;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;BN;Suelos condicionados a manejo por acidez, y con probabilidad baja (20 - 40 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;BO;Suelos condicionados a manejo por la textura, y con probabilidad baja (20 - 40 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;BP;Suelos condicionados por pendiente, y con probabilidad baja (20 - 40 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;BQ;Suelos no aptos por condiciones del suelo, y con probabilidad baja (20 - 40 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;BR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad baja (20 - 40 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;BY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad baja (20 - 40 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;CM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad media (40 - 60 %) que presente condiciones de humedad adecuada para el cultivo de melón
49;1;2;CN;Suelos condicionados a manejo por acidez, y con probabilidad media (40 - 60 %) que presente condiciones de humedad adecuada para el cultivo de melón
